Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type,Product_ID,Discount_Percent,Playtime_Hours,Driver_Size_mm,Bluetooth_Version,Latency_ms,Gaming,ANC,ENC
"ZEBRONICS ZEB-BRO Wired Headset  (Red, In the Ear)",399.0,325.0,ZEBRONICS,ZEB-BRO,Red,In Ear,Wired,ZEBRONICS_ZEB-BRO,18.55,,,,,False,False,False
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Graphite Black, True Wireless)",2999.0,1299.0,Boult,Airbass Z35,Graphite Black,In Ear,Bluetooth,Boult_Airbass Z35,56.69,32.0,,,45.0,False,False,True
"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Type-C Bluetooth Headset  (Black, True Wireless)",5999.0,1299.0,Boult,xpods pro,Black,In Ear,Bluetooth,Boult_xpods pro,78.35,20.0,,,,False,False,False
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Royal Blue, In the Ear)",2990.0,1299.0,boAt,Airdopes 131 Pro,Royal Blue,In Ear,Bluetooth,boAt_Airdopes 131 Pro,56.56,45.0,11.0,,,False,False,True
"PTron Basspods 581 Bluetooth Headset  (Black & Yellow, True Wireless)",3799.0,1099.0,PTron,Basspods 581,Black & Yellow,In Ear,Bluetooth,PTron_Basspods 581,71.07,,,,,False,False,False
"Boult Audio AirBass PowerBuds with Inbuilt Powerbank, 120H Playtime, IPX7 Waterproof Bluetooth Headset  (Black, True Wireless)",8999.0,1499.0,Boult,Air Bass Power Buds,Black,In Ear,Bluetooth,Boult_Air Bass Power Buds,83.34,120.0,,,,False,False,False
"Wings Phantom 205 Neckband with touch controls Bluetooth 5.3 Bluetooth Gaming Headset  (Black, In the Ear)",2999.0,899.0,Wings,Phantom 205 Neck band with touch controls,Black,In Ear,Bluetooth,Wings_Phantom 205 Neck band with touch controls,70.02,,,,,True,False,False
"Portronics Harmonics One Sports Bluetooth Headset  (Black, In the Ear)",1999.0,1084.0,Portronics,Harmonics One Sports,Black,In Ear,Bluetooth,Portronics_Harmonics One Sports,45.77,,,,,False,False,False
"Skullcandy Jib Headset with mic  (White, In the Ear)",999.0,799.0,Skullcandy,S2DUYK-441 JIB,White,In Ear,Wired,Skullcandy_S2DUYK-441 JIB,20.02,,,,,False,False,False
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Blue, True Wireless)",5999.0,999.0,Boult,Gearpods Wireless Earphones,Blue,In Ear,Bluetooth,Boult_Gearpods Wireless Earphones,83.35,32.0,,,,False,False,False
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Luscious Black, On the Ear)",3990.0,1999.0,boAt,Rockerz 450 Pro with Upto 70 Hours Playback,Luscious Black,On Ear,Bluetooth,boAt_Rockerz 450 Pro with Upto 70 Hours Playback,49.9,70.0,,,,False,False,False
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (White, True Wireless)",4999.0,1599.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,In Ear,Bluetooth,"Boult_Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",68.01,40.0,,,,True,False,True
"Portronics Harmonics 250 Fast Charging with 60Hrs Playtime Bluetooth Headset  (Black, In the Ear)",2999.0,1799.0,Portronics,Harmonics 250 Fast Charging with 60Hrs Playtime,Black,In Ear,Bluetooth,Portronics_Harmonics 250 Fast Charging with 60Hrs Playtime,40.01,60.0,,,,False,False,False
"Portronics Harmonics Z2 - 30 Hours Playtime Wireless Neckband Bluetooth Headset  (Black, In the Ear)",1999.0,799.0,Portronics,Harmonics Z2 Wireless Stereo,Black,In Ear,Bluetooth,Portronics_Harmonics Z2 Wireless Stereo,60.03,30.0,,,,False,False,False
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Snow White, True Wireless)",3999.0,1199.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Snow White,In Ear,Bluetooth,"Noise_Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",70.02,36.0,,,,False,False,True
"PTron InTunes Beats Bluetooth Headset  (Black, In the Ear)",2499.0,1199.0,PTron,InTunes Beats,Black,In Ear,Bluetooth,PTron_InTunes Beats,52.02,,,,,False,False,False
"Skullcandy Push Active True Wireless Earbuds, Voice Control Bluetooth Headset  (Blue/Grey, True Wireless)",13999.0,6599.0,Skullcandy,"Push Active True Wireless Earbuds, Voice Control",Blue/Grey,In Ear,Bluetooth,"Skullcandy_Push Active True Wireless Earbuds, Voice Control",52.86,,,,,False,False,False
"Wings Phantom 410 Wireless Earbuds with Digital Battery Indicator & 70 Hrs Playtime Bluetooth Gaming Headset  (Black, True Wireless)",2999.0,999.0,Wings,Phantom 410,Black,In Ear,Bluetooth,Wings_Phantom 410,66.69,70.0,,,,True,False,False
"Wings Phantom 200 Wireless Earbuds, LED, 40ms Low Latency, DNS Mic Headphones Bluetooth Gaming Headset  (Orange, In the Ear)",2999.0,1199.0,Wings,Phantom 200,Orange,In Ear,Bluetooth,Wings_Phantom 200,60.02,,,,40.0,True,False,False
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Black, True Wireless)",5999.0,999.0,Boult,AirBass GearPods,Black,In Ear,Bluetooth,Boult_AirBass GearPods,83.35,32.0,,,,False,False,False
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Carbon Black, In the Ear)",2499.0,899.0,Noise,Nerve Neckband,Carbon Black,In Ear,Bluetooth,Noise_Nerve Neckband,64.03,25.0,10.0,,,False,False,False
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Sunset Grey, True Wireless)",2999.0,1299.0,Boult,Airbass Z35,Sunset Grey,In Ear,Bluetooth,Boult_Airbass Z35,56.69,32.0,,,45.0,False,False,True
"Portronics Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds Bluetooth Headset  (Black, True Wireless)",3999.0,1999.0,Portronics,Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds,Black,In Ear,Bluetooth,Portronics_Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds,50.01,,,,,False,True,True
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Viper Green, On the Ear)",3490.0,1199.0,boAt,Rockerz 510 / Rockerz 518,Viper Green,On Ear,Bluetooth,boAt_Rockerz 510 / Rockerz 518,65.64,,,,,False,False,False
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Aqua Blue, On the Ear)",3990.0,1999.0,boAt,Rockerz 450 Pro with Upto 70 Hours Playback,Aqua Blue,On Ear,Bluetooth,boAt_Rockerz 450 Pro with Upto 70 Hours Playback,49.9,70.0,,,,False,False,False
"boAt Rockerz 235 Pro with upto 20 Hours Playback and ASAP Charge Bluetooth Headset  (Ash Grey, In the Ear)",2490.0,999.0,boAt,Rockerz 235 Pro,Ash Grey,In Ear,Bluetooth,boAt_Rockerz 235 Pro,59.88,20.0,,,,False,False,False
"PTron Boom One Wired Headset  (Blue, In the Ear)",800.0,390.0,PTron,Boom One,Blue,In Ear,Wired,PTron_Boom One,51.25,,,,,False,False,False
"Portronics Harmonics Twins 24 Bluetooth Headset  (White, True Wireless)",1999.0,1139.0,Portronics,Harmonics Twins 24,White,In Ear,Bluetooth,Portronics_Harmonics Twins 24,43.02,,,,,False,False,False
"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, Fast Charging, Fast Pairing Bluetooth Headset  (Black, In the Ear)",4999.0,1199.0,Boult,ProBass FCharge,Black,In Ear,Bluetooth,Boult_ProBass FCharge,76.02,40.0,,,,False,False,True
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Hazel Beige, On the Ear)",3990.0,1999.0,boAt,Rockerz 450 Pro with Upto 70 Hours Playback,Hazel Beige,On Ear,Bluetooth,boAt_Rockerz 450 Pro with Upto 70 Hours Playback,49.9,70.0,,,,False,False,False
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (Black, True Wireless)",4999.0,1499.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",Black,In Ear,Bluetooth,"Boult_Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",70.01,40.0,,,,True,False,True
"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Blue, In the Ear)",2699.0,983.0,PTron,InTunes Ultima,"Black, Blue",In Ear,Bluetooth,PTron_InTunes Ultima,63.58,,,,,False,False,False
"Skullcandy Indy ANC Bluetooth Headset  (Chill Grey, True Wireless)",19999.0,9699.0,Skullcandy,Indy ANC,Chill Grey,In Ear,Bluetooth,Skullcandy_Indy ANC,51.5,,,,,False,True,False
"Portronics Harmonics Z1 Wireless Stereo Bluetooth Headset  (Green, In the Ear)",1999.0,999.0,Portronics,Harmonics Z1 Wireless Stereo,Green,In Ear,Bluetooth,Portronics_Harmonics Z1 Wireless Stereo,50.03,,,,,False,False,False
"Skullcandy Cassette Wireless Bluetooth Headset  (Chill Gray, On the Ear)",3999.0,2699.0,Skullcandy,Cassette Wireless,Chill Gray,On Ear,Bluetooth,Skullcandy_Cassette Wireless,32.51,,,,,False,False,False
"Skullcandy Hesh Evo Bluetooth Headset  (Black, On the Ear)",14999.0,8299.0,Skullcandy,s6hvw-n740,Black,On Ear,Bluetooth,Skullcandy_s6hvw-n740,44.67,,,,,False,False,False
"boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bluetooth Headset  (Crimson Cream, True Wireless)",2990.0,1299.0,boAt,Airdopes 131,Crimson Cream,In Ear,Bluetooth,boAt_Airdopes 131,56.56,60.0,,,,False,False,False
"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latency Gaming Mode, 35H Playtime Bluetooth Headset  (Black, True Wireless)",4499.0,1799.0,Boult,Maverick,Black,In Ear,Bluetooth,Boult_Maverick,60.01,35.0,,,45.0,True,False,True
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Space Blue, True Wireless)",3999.0,1599.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Space Blue,In Ear,Bluetooth,"Noise_Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",60.02,36.0,,,,False,False,True
"Boult Audio Ranger Bluetooth Gaming Headset  (Black, On the Ear)",7999.0,1799.0,Boult,Ranger,Black,On Ear,Bluetooth,Boult_Ranger,77.51,,,,,True,False,False
"PTron Bassbuds Rush Bluetooth Gaming Headset  (Black, True Wireless)",3199.0,1599.0,PTron,Bassbuds Rush,Black,In Ear,Bluetooth,PTron_Bassbuds Rush,50.02,,,,,True,False,False
"ZEBRONICS ZEB- PHOENIX Wired Gaming Headset  (Black, On the Ear)",1999.0,1275.0,ZEBRONICS,ZEB- PHOENIX,Black,On Ear,Wired,ZEBRONICS_ZEB- PHOENIX,36.22,,,,,True,False,False
"Skullcandy Ink'd Plus Wired Headset  (Blue, In the Ear)",2499.0,1092.0,Skullcandy,S2IMY-M686,Blue,In Ear,Wired,Skullcandy_S2IMY-M686,56.3,,,,,False,False,False
"PTron Bassbuds B11 with 13mm Driver, Stereo Calls, 28Hrs Playback Bluetooth Headset  (Black, In the Ear)",2599.0,999.0,PTron,Bassbuds B11,Black,In Ear,Bluetooth,PTron_Bassbuds B11,61.56,28.0,13.0,,,False,False,False
"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Space Blue, True Wireless)",3999.0,1599.0,Noise,Buds�VS204,Space Blue,In Ear,Bluetooth,Noise_Buds�VS204,60.02,50.0,10.0,,,False,False,False
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Forest Green, True Wireless)",3999.0,1499.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Forest Green,In Ear,Bluetooth,"Noise_Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",62.52,36.0,,,,False,False,True
"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC, Movie Mode Bluetooth Headset  (White, True Wireless)",3999.0,999.0,PTron,Basspods P251+,White,In Ear,Bluetooth,PTron_Basspods P251+,75.02,50.0,12.0,,,False,False,True
"ZEBRONICS ZEB-BRO Wired Headset  (Blue, In the Ear)",399.0,308.0,ZEBRONICS,ZEB-BRO,Blue,In Ear,Wired,ZEBRONICS_ZEB-BRO,22.81,,,,,False,False,False
"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (White, True Wireless)",2999.0,1299.0,Wings,Phantom 550,White,In Ear,Bluetooth,Wings_Phantom 550,56.69,45.0,,,,True,False,False
"Noise Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5 Bluetooth Headset  (Snow White, True Wireless)",7999.0,2699.0,Noise,"Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Snow White,In Ear,Bluetooth,"Noise_Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",66.26,25.0,,,,False,True,True
"Noise Flair Neckband with 35 Hours Playtime, ENC with Dual Mic, 10mm Driver, and IPX5 Bluetooth Headset  (Carbon Black, In the Ear)",3999.0,1799.0,Noise,Flair Touch Neckband,Carbon Black,In Ear,Bluetooth,Noise_Flair Touch Neckband,55.01,35.0,10.0,,,False,False,True
"Wings Phantom 110 Neckband, LED , 20 hrs Playtime, 50ms Low Latency Headphones Bluetooth Gaming Headset  (Black, In the Ear)",1999.0,899.0,Wings,WL-PHANTOM110,Black,In Ear,Bluetooth,Wings_WL-PHANTOM110,55.03,20.0,,,50.0,True,False,False
"Boult Audio Thunder Bluetooth Headset  (Black, On the Ear)",3999.0,1399.0,Boult,Thunder,Black,On Ear,Bluetooth,Boult_Thunder,65.02,,,,,False,False,False
"Noise Nerve Pro with upto 35hrs of playtime, ESR, Instacharge and Bluetooth v5.2 Bluetooth Headset  (Cyan Blue, In the Ear)",2799.0,1099.0,Noise,Nerve Pro Neckband,Cyan Blue,In Ear,Bluetooth,Noise_Nerve Pro Neckband,60.74,35.0,,5.2,,False,False,False
"Noise Buds VS304 with 35 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Pearl White, True Wireless)",2999.0,1099.0,Noise,Buds VS304,Pearl White,In Ear,Bluetooth,Noise_Buds VS304,63.35,35.0,13.0,,,False,False,False
"Wings Phantom 860 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (Black, True Wireless)",2999.0,1499.0,Wings,WL-PHANTOM860-BLK,Black,In Ear,Bluetooth,Wings_WL-PHANTOM860-BLK,50.02,,,,,True,False,True
"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Technology, and HyperSync Bluetooth Headset  (Pale Blue, True Wireless)",2999.0,999.0,Noise,Air Buds Mini Truly Wireless,Pale Blue,In Ear,Bluetooth,Noise_Air Buds Mini Truly Wireless,66.69,15.0,,,,False,False,False
"PTron Bassbuds Epic, 40ms Gaming TWS Earbuds, 35hrs Playtime, ENC Calls, Touch Control Bluetooth Headset  (Black, In the Ear)",3199.0,1299.0,PTron,Bassbuds Epic,Black,In Ear,Bluetooth,PTron_Bassbuds Epic,59.39,35.0,,,40.0,True,False,True
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Blue, True Wireless)",7499.0,2699.0,Skullcandy,s2dmw-p751,Blue,In Ear,Bluetooth,Skullcandy_s2dmw-p751,64.01,,,,,False,False,False
"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Snow White, True Wireless)",3999.0,1599.0,Noise,Buds�VS204,Snow White,In Ear,Bluetooth,Noise_Buds�VS204,60.02,50.0,10.0,,,False,False,False
"Skullcandy Sesh Evo Bluetooth Headset  (Bleached Blue, True Wireless)",7999.0,4799.0,Skullcandy,Sesh Evo,Bleached Blue,In Ear,Bluetooth,Skullcandy_Sesh Evo,40.01,,,,,False,False,False
"PTron Basspods P481, 60Hrs Playtime, Deep Bass, ENC Stereo Calls Bluetooth Headset  (Black, In the Ear)",3199.0,899.0,PTron,Basspods P481,Black,In Ear,Bluetooth,PTron_Basspods P481,71.9,60.0,,,,False,False,True
"ZEBRONICS ZEB-Buds-C2 Wired Headset  (Black, In the Ear)",699.0,599.0,ZEBRONICS,ZEB-Buds-C2,Black,In Ear,Wired,ZEBRONICS_ZEB-Buds-C2,14.31,,,,,False,False,False
"Skullcandy Dime 2 Bluetooth Headset  (Blue, Grey, True Wireless)",7999.0,2699.0,Skullcandy,S2DBW-P751,"Blue, Grey",In Ear,Bluetooth,Skullcandy_S2DBW-P751,66.26,,,,,False,False,False
"PTron Basspods 281 In-Ear True Wireless Bluetooth 5.1 Headphones with Deep Bass, Touch Control, IPX4 Sweat/Water-Resistant, Stereo Calling & Passive Noise Canceling Earbuds (Black/Grey) Bluetooth Headset  (Black, Grey, True Wireless)",2699.0,1099.0,PTron,Basspods 281,"Black, Grey",In Ear,Bluetooth,PTron_Basspods 281,59.28,,,,,False,False,False
"PTron Basspods P11, 24Hrs Playback, 10mm Driver, MovieMode, HD Mic Bluetooth Headset  (Black, True Wireless)",2999.0,799.0,PTron,Basspods P11,Black,In Ear,Bluetooth,PTron_Basspods P11,73.36,24.0,10.0,,,False,False,False
"ZEBRONICS Zeb Duke 1 Wireless Headphone with Mic Bluetooth Headset  (Red, On the Ear)",2499.0,999.0,ZEBRONICS,Zeb-Duke 1,Red,On Ear,Bluetooth,ZEBRONICS_Zeb-Duke 1,60.02,,,,,False,False,False
"Skullcandy Sesh S2TDW-M003 True Wireless Bluetooth Headset  (Black, True Wireless)",5999.0,4999.0,Skullcandy,Sesh S2TDW-M003,Black,In Ear,Bluetooth,Skullcandy_Sesh S2TDW-M003,16.67,,,,,False,False,False
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Mint Cascade, In the Ear)",2990.0,1299.0,boAt,Airdopes 131 Pro,Mint Cascade,In Ear,Bluetooth,boAt_Airdopes 131 Pro,56.56,45.0,11.0,,,False,False,True
"ZEBRONICS Zeb-Orion Wired Gaming Headset  (Black, On the Ear)",4999.0,1899.0,ZEBRONICS,Orion,Black,On Ear,Wired,ZEBRONICS_Orion,62.01,,,,,True,False,False
"Noise Buds Combat with 45 Hours Playtime, Ultra-low Latency(40ms), Quad Mic ENC Gaming Bluetooth Headset  (Covert white, True Wireless)",3999.0,1799.0,Noise,Buds Combat,Covert white,In Ear,Bluetooth,Noise_Buds Combat,55.01,45.0,,,40.0,True,False,True
"ZEBRONICS ZEB- EARPHONE YOGA 2 Bluetooth Headset  (Black, In the Ear)",1699.0,1395.0,ZEBRONICS,ZEB- EARPHONE YOGA 2,Black,In Ear,Bluetooth,ZEBRONICS_ZEB- EARPHONE YOGA 2,17.89,,,,,False,False,False
"Skullcandy Indy ANC Bluetooth Headset  (Black, True Wireless)",19999.0,6499.0,Skullcandy,Indy ANC,Black,In Ear,Bluetooth,Skullcandy_Indy ANC,67.5,,,,,False,True,False
"Boult Audio ProBass Escape with Zen Tech ENC mic 10Hrs Playtime, Extra Deep Bass Bluetooth Headset  (Black, In the Ear)",3999.0,899.0,Boult,ProBass Escape,Black,In Ear,Bluetooth,Boult_ProBass Escape,77.52,10.0,,,,False,False,True
"Skullcandy Hesh ANC Bluetooth Headset  (Black, On the Ear)",19999.0,11194.0,Skullcandy,Hesh ANC,Black,On Ear,Bluetooth,Skullcandy_Hesh ANC,44.03,,,,,False,True,False
"Boult Audio Omega with 30dB ANC, Quad Mic ENC, 45ms Latency Gaming Mode, 32H Playtime, 5.2 Bluetooth Headset  (Black, True Wireless)",9999.0,1999.0,Boult,Airbass Omega,Black,In Ear,Bluetooth,Boult_Airbass Omega,80.01,32.0,,,45.0,True,True,True
"Portronics POR-1025 Conch Gama Wired Headset  (Black, In the Ear)",599.0,349.0,Portronics,POR-1025 Conch Gama,Black,In Ear,Wired,Portronics_POR-1025 Conch Gama,41.74,,,,,False,False,False
"Wings Phantom Pro Godlike Gaming TWS Earbuds Bluetooth Gaming Headset  (Yellow, True Wireless)",4999.0,1299.0,Wings,Phantom Pro Godlike Gaming TWS Earbuds,Yellow,In Ear,Bluetooth,Wings_Phantom Pro Godlike Gaming TWS Earbuds,74.01,,,,,True,False,False
"ZEBRONICS Zeb-Sound Bomb 10 Bluetooth Headset  (Black, True Wireless)",4299.0,2145.0,ZEBRONICS,Zeb-Sound Bomb 10,Black,In Ear,Bluetooth,ZEBRONICS_Zeb-Sound Bomb 10,50.1,,,,,False,False,False
"PTron Bassbuds Xtreme, Gaming TWS Earbuds, 32hrs Playtime, Clear Calls, Pinch Control Bluetooth Headset  (Blue & Black, In the Ear)",4599.0,1299.0,PTron,Bassbuds Xtreme,Blue & Black,In Ear,Bluetooth,PTron_Bassbuds Xtreme,71.75,32.0,,,,True,False,False
"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (Blue, True Wireless)",2999.0,1299.0,Wings,Phantom 550,Blue,In Ear,Bluetooth,Wings_Phantom 550,56.69,45.0,,,,True,False,False
"ZEBRONICS Zeb-Bang Pro Bluetooth Headset  (Orange, On the Ear)",2499.0,1199.0,ZEBRONICS,Zeb-Bang Pro,Orange,On Ear,Bluetooth,ZEBRONICS_Zeb-Bang Pro,52.02,,,,,False,False,False
"Skullcandy Jib Headset with mic  (Black, In the Ear)",999.0,799.0,Skullcandy,S2DUYK-343,Black,In Ear,Wired,Skullcandy_S2DUYK-343,20.02,,,,,False,False,False
